location,ksh,type,county,district,district_code,territory,population,number_of_households
Kup,26541,község,Veszprém,Pápa,187 0,2478,460,177
Kupa,18722,község,Borsod-Abaúj-Zemplén,Szikszó,067 0,784,155,77
Kurd,20507,község,Tolna,Dombóvár,171 0,3119,1139,482
Kurityán,11819,község,Borsod-Abaúj-Zemplén,Kazincbarcika,058 0,753,1576,602
Kustánszeg,19479,község,Zala,Zalaegerszeg,197 0,1142,456,216
Kutas,28857,község,Somogy,Nagyatád,145 0,3655,1458,522
Kutasó,19451,község,Nógrád,Pásztó,118 0,605,79,75
Kübekháza,14410,község,Csongrád,Szeged,075 0,2731,1446,585
Külsősárd,32221,község,Zala,Lenti,194 0,152,73,36
Külsővat,16142,község,Veszprém,Pápa,187 0,1931,810,256
Küngös,04066,község,Veszprém,Balatonalmádi,184 0,948,471,181
Lábatlan,15255,város,Komárom-Esztergom,Esztergom,110 0,2638,4839,2080
Lábod,28291,község,Somogy,Nagyatád,145 0,6651,1935,746
Lácacséke,20844,község,Borsod-Abaúj-Zemplén,Cigánd,054 0,1624,311,133
Lad,16258,község,Somogy,Barcs,140 0,2235,572,274
Ladánybene,05786,község,Bács-Kiskun,Kecskemét,038 0,4072,1564,727
Ládbesenyő,26231,község,Borsod-Abaúj-Zemplén,Edelény,055 0,1040,285,124
Lajoskomárom,07506,nagyközség,Fejér,Enying,079 0,7559,2226,876
Lajosmizse,17677,város,Bács-Kiskun,Kecskemét,038 0,16463,11292,4852
Lak,15857,község,Borsod-Abaúj-Zemplén,Edelény,055 0,1976,686,206
Lakhegy,33792,község,Zala,Zalaegerszeg,197 0,858,457,205
Lakitelek,06202,nagyközség,Bács-Kiskun,Tiszakécske,044 0,5466,4411,2041
Lakócsa,11040,község,Somogy,Barcs,140 0,2532,554,250
Lánycsók,33330,község,Baranya,Mohács,027 0,2540,2422,866
Lápafő,14605,község,Tolna,Dombóvár,171 0,930,162,85
Lapáncsa,06479,község,Baranya,Siklós,031 0,436,192,75
Laskod,21290,község,Szabolcs-Szatmár-Bereg,Baktalórántháza,148 0,1359,962,401
Lasztonya,03434,község,Zala,Letenye,195 0,877,76,56
Látrány,14863,község,Somogy,Fonyód,142 0,2230,1342,585
Lázi,04376,község,Győr-Moson-Sopron,Pannonhalma,090 0,1678,558,234
Leányfalu,30809,nagyközség,Pest,Szentendre,135 0,1536,3544,1405
Leányvár,25487,község,Komárom-Esztergom,Esztergom,110 0,726,1714,630
Lébény,33668,város,Győr-Moson-Sopron,Mosonmagyaróvár,089 0,8136,3232,1246
Legénd,30395,község,Nógrád,Rétság,119 0,1841,453,250
Legyesbénye,11660,község,Borsod-Abaúj-Zemplén,Szerencs,066 0,2031,1504,626
Léh,03531,község,Borsod-Abaúj-Zemplén,Szikszó,067 0,843,401,150
Lénárddaróc,07038,község,Borsod-Abaúj-Zemplén,Ózd,062 0,516,261,158
Lendvadedes,27483,község,Zala,Lenti,194 0,402,29,19
Lendvajakabfa,11475,község,Zala,Lenti,194 0,617,16,45
Lengyel,24411,község,Tolna,Bonyhád,170 0,2003,545,240
Lengyeltóti,26675,város,Somogy,Fonyód,142 0,3957,3003,1198
Lenti,12575,város,Zala,Lenti,194 1,7379,7828,3529
Lepsény,07269,nagyközség,Fejér,Enying,079 0,3908,2975,1212
Lesencefalu,17570,község,Veszprém,Tapolca,189 0,718,302,154
Lesenceistvánd,21962,község,Veszprém,Tapolca,189 0,1738,947,388
Lesencetomaj,17871,község,Veszprém,Tapolca,189 0,2408,1119,383
Létavértes,05768,város,Hajdú-Bihar,Derecske,096 0,11654,7061,2668
Letenye,12122,város,Zala,Letenye,195 1,4174,4157,1593
Letkés,22682,község,Pest,Szob,137 0,2455,1127,433
Levél,19239,község,Győr-Moson-Sopron,Mosonmagyaróvár,089 0,2492,1811,707
Levelek,30979,nagyközség,Szabolcs-Szatmár-Bereg,Baktalórántháza,148 0,2572,2950,955
Libickozma,32355,község,Somogy,Marcali,144 0,2297,28,46
Lickóvadamos,03054,község,Zala,Zalaegerszeg,197 0,669,187,125
Liget,17604,község,Baranya,Komló,026 0,1207,366,142
Ligetfalva,28200,község,Zala,Keszthely,193 0,472,51,32
Lipót,16221,község,Győr-Moson-Sopron,Mosonmagyaróvár,089 0,1609,716,269
Lippó,22974,község,Baranya,Mohács,027 0,1453,479,206
Liptód,10038,község,Baranya,Bóly,024 0,1499,203,132
Lispeszentadorján,10889,község,Zala,Letenye,195 0,914,283,171
Liszó,25025,község,Zala,Nagykanizsa,196 0,2591,397,167
Litér,04552,község,Veszprém,Balatonalmádi,184 0,1283,2168,746
Litka,28219,község,Borsod-Abaúj-Zemplén,Encs,056 0,666,34,46
Litke,04871,község,Nógrád,Salgótarján,120 0,1814,876,340
Lócs,29081,község,Vas,Kőszeg,178 0,513,122,103
Lókút,18856,község,Veszprém,Zirc,192 0,1811,398,202
Lónya,26091,község,Szabolcs-Szatmár-Bereg,Vásárosnamény,159 0,3544,912,394
Lórév,09140,község,Pest,Ráckeve,134 0,987,290,129
Lothárd,31389,község,Baranya,Pécs,028 0,1046,221,110
Lovas,05564,község,Veszprém,Balatonfüred,185 0,595,442,182
Lovasberény,19114,község,Fejér,Székesfehérvár,085 0,6062,2583,1142
Lovászhetény,24624,község,Baranya,Pécsvárad,029 0,895,304,113
Lovászi,28167,község,Zala,Lenti,194 0,967,1194,585
Lovászpatona,05087,község,Veszprém,Pápa,187 0,4990,1133,512
Lőkösháza,21209,község,Békés,Gyula,048 0,5202,1804,825
Lőrinci,30401,város,Heves,Hatvan,107 0,2353,5557,2325
Lövő,31194,község,Győr-Moson-Sopron,Sopron,091 0,1751,1403,553
Lövőpetri,07995,község,Szabolcs-Szatmár-Bereg,Kisvárda,153 0,926,477,220
Lucfalva,20190,község,Nógrád,Salgótarján,120 0,1410,614,226
Ludányhalászi,02778,község,Nógrád,Szécsény,121 0,2114,1463,492
Ludas,15796,község,Heves,Gyöngyös,106 0,1079,736,378
Lukácsháza,14021,község,Vas,Kőszeg,178 0,937,1086,384
Lulla,10010,község,Somogy,Tab,147 0,1039,176,94
Lúzsok,18865,község,Baranya,Sellye,030 0,652,257,71
Mád,03902,község,Borsod-Abaúj-Zemplén,Szerencs,066 0,3186,2217,1141
Madaras,23357,község,Bács-Kiskun,Bácsalmás,034 0,4931,2862,1469
Madocsa,29337,község,Tolna,Paks,172 0,4334,1891,832
Maglóca,26444,község,Győr-Moson-Sopron,Csorna,086 0,576,93,53
Maglód,10922,város,Pest,Vecsés,139 0,2236,11896,4428
Mágocs,06813,város,Baranya,Sásd,025 0,4254,2348,949
Magosliget,29984,község,Szabolcs-Szatmár-Bereg,Fehérgyarmat,150 0,518,315,89
Magy,16629,község,Szabolcs-Szatmár-Bereg,Baktalórántháza,148 0,2071,889,320
Magyaralmás,27678,község,Fejér,Mór,082 0,2242,1546,601
Magyaratád,10427,község,Somogy,Kaposvár,143 0,1882,786,322
Magyarbánhegyes,27906,község,Békés,Mezőkovácsháza,049 0,3656,2294,1101
Magyarbóly,25177,község,Baranya,Siklós,031 0,1722,936,369
Magyarcsanád,05962,község,Csongrád,Makó,073 0,4800,1424,708
Magyardombegyház,11536,község,Békés,Mezőkovácsháza,049 0,765,237,161
Magyaregregy,29753,község,Baranya,Komló,026 0,2681,726,328
Magyaregres,25371,község,Somogy,Kaposvár,143 0,1440,600,215
Magyarföld,08916,község,Zala,Lenti,194 0,889,37,29
Magyargéc,26967,község,Nógrád,Szécsény,121 0,1235,895,294
Magyargencs,26374,község,Veszprém,Pápa,187 0,3800,496,268
Magyarhertelend,05430,község,Baranya,Komló,026 0,1616,623,264
Magyarhomorog,03683,község,Hajdú-Bihar,Berettyóújfalu,094 0,3954,922,440
Magyarkeresztúr,13912,község,Győr-Moson-Sopron,Csorna,086 0,1676,431,215
Magyarkeszi,06017,község,Tolna,Tamási,174 0,3816,1236,614
Magyarlak,03221,község,Vas,Szentgotthárd,180 0,762,776,304
Magyarlukafa,23542,község,Baranya,Szigetvár,033 0,1297,93,49
Magyarmecske,05412,község,Baranya,Sellye,030 0,1195,336,112
Magyarnádalja,27289,község,Vas,Körmend,177 0,385,199,87
Magyarnándor,32407,község,Nógrád,Balassagyarmat,116 0,1867,1058,466
Magyarpolány,20437,község,Veszprém,Ajka,183 0,2696,1175,516
Magyarsarlós,27067,község,Baranya,Pécs,028 0,803,267,109
Magyarszecsőd,17288,község,Vas,Körmend,177 0,1126,445,188
Magyarszék,22600,község,Baranya,Komló,026 0,1386,1020,384
Magyarszentmiklós,02909,község,Zala,Nagykanizsa,196 0,419,248,102
Magyarszerdahely,13064,község,Zala,Nagykanizsa,196 0,1622,509,164
Magyarszombatfa,25423,község,Vas,Körmend,177 0,1594,249,134
Magyartelek,04385,község,Baranya,Sellye,030 0,684,210,71
Majosháza,10755,község,Pest,Szigetszentmiklós,136 0,1141,1538,618
Majs,27863,község,Baranya,Mohács,027 0,3206,952,393
Makád,04394,község,Pest,Ráckeve,134 0,3177,1150,532
Makkoshotyka,19600,község,Borsod-Abaúj-Zemplén,Sárospatak,064 0,1040,861,291
Maklár,27696,község,Heves,Eger,104 0,2801,2361,968
Makó,07357,város,Csongrád,Makó,073 1,22919,22926,11264
Malomsok,03610,község,Veszprém,Pápa,187 0,2574,513,241
Mályi,27395,község,Borsod-Abaúj-Zemplén,Miskolc,061 0,1129,4016,1511
Mályinka,14915,község,Borsod-Abaúj-Zemplén,Kazincbarcika,058 0,2420,447,249
Mánd,02088,község,Szabolcs-Szatmár-Bereg,Fehérgyarmat,150 0,518,276,107
Mándok,17826,város,Szabolcs-Szatmár-Bereg,Záhony,160 0,2891,4143,1458
Mánfa,33923,község,Baranya,Komló,026 0,2770,768,320
Mány,23490,község,Fejér,Bicske,077 0,4472,2440,860
Maráza,29920,község,Baranya,Mohács,027 0,970,172,105
Marcalgergelyi,29294,község,Veszprém,Pápa,187 0,776,368,174
Marcali,18500,város,Somogy,Marcali,144 1,10440,11541,5166
Marcaltő,22220,község,Veszprém,Pápa,187 0,2208,727,334
Márfa,09450,község,Baranya,Siklós,031 0,409,193,75
Máriahalom,22637,község,Komárom-Esztergom,Esztergom,110 0,1085,601,285
Máriakálnok,12283,község,Győr-Moson-Sopron,Mosonmagyaróvár,089 0,1551,1791,628
Máriakéménd,14483,község,Baranya,Bóly,024 0,1578,497,213
Márianosztra,04570,község,Pest,Szob,137 0,2026,843,383
Máriapócs,19655,város,Szabolcs-Szatmár-Bereg,Nyírbátor,156 0,2208,2153,723
Markaz,16540,község,Heves,Gyöngyös,106 0,2561,1789,808
Márkháza,14641,község,Nógrád,Salgótarján,120 0,631,255,113
Márkó,32212,község,Veszprém,Veszprém,191 0,3441,1214,427
Markóc,16443,község,Baranya,Sellye,030 0,579,63,30
Markotabödöge,06770,község,Győr-Moson-Sopron,Csorna,086 0,1628,474,237
Maróc,02103,község,Zala,Letenye,195 0,516,69,70
Marócsa,15219,község,Baranya,Sellye,030 0,1138,90,49
Márok,20659,község,Baranya,Siklós,031 0,1593,415,183
Márokföld,31981,község,Zala,Lenti,194 0,744,47,40
Márokpapi,33224,község,Szabolcs-Szatmár-Bereg,Vásárosnamény,159 0,2118,523,222
Maroslele,10515,község,Csongrád,Makó,073 0,4654,2025,937
Mártély,25733,község,Csongrád,Hódmezővásárhely,071 0,3645,1301,572
Martfű,02626,város,Jász-Nagykun-Szolnok,Szolnok,167 0,2308,6305,2931
Martonfa,02228,község,Baranya,Pécsvárad,029 0,569,202,84
Martonvásár,04659,város,Fejér,Martonvásár,081 1,3125,5540,2109
Martonyi,02024,község,Borsod-Abaúj-Zemplén,Edelény,055 0,1757,412,185
Mátészalka,18874,város,Szabolcs-Szatmár-Bereg,Mátészalka,154 1,4140,16902,7112
Mátételke,27809,község,Bács-Kiskun,Bácsalmás,034 0,2792,475,281
Mátraballa,19965,község,Heves,Pétervására,109 0,2636,754,429
Mátraderecske,14872,község,Heves,Pétervására,109 0,1399,1926,998
Mátramindszent,20075,község,Nógrád,Bátonyterenye,117 0,1673,815,452
Mátranovák,19372,község,Nógrád,Bátonyterenye,117 0,2697,1673,1066
Mátraszele,24332,község,Nógrád,Salgótarján,120 0,1697,920,468
Mátraszentimre,29045,község,Heves,Gyöngyös,106 0,2129,431,288
Mátraszőlős,04330,község,Nógrád,Pásztó,118 0,2916,1555,669
Mátraterenye,33525,község,Nógrád,Bátonyterenye,117 0,2813,1873,885
Mátraverebély,30100,község,Nógrád,Bátonyterenye,117 0,1840,1934,851
Mátyásdomb,16948,község,Fejér,Enying,079 0,3539,771,288
Matty,15051,község,Baranya,Siklós,031 0,1690,319,145
Mátyus,20668,község,Szabolcs-Szatmár-Bereg,Vásárosnamény,159 0,1102,266,141
Máza,33756,község,Baranya,Komló,026 0,1069,1195,486
Mecseknádasd,13444,község,Baranya,Pécsvárad,029 0,3608,1497,635
Mecsekpölöske,11402,község,Baranya,Komló,026 0,731,376,156
Mecsér,27359,község,Győr-Moson-Sopron,Mosonmagyaróvár,089 0,2110,586,285
Medgyesbodzás,20765,község,Békés,Mezőkovácsháza,049 0,3167,1060,586
Medgyesegyháza,30128,város,Békés,Mezőkovácsháza,049 0,6429,3558,1829
Medina,30562,község,Tolna,Szekszárd,173 0,2225,806,333
Megyaszó,21768,község,Borsod-Abaúj-Zemplén,Szerencs,066 0,5342,2711,865
Megyehíd,30872,község,Vas,Sárvár,179 0,598,320,124
Megyer,04987,község,Veszprém,Sümeg,188 0,426,23,21
Meggyeskovácsi,25760,község,Vas,Sárvár,179 0,2465,685,338
Méhkerék,23931,község,Békés,Sarkad,051 0,2585,2085,865
Méhtelek,29799,község,Szabolcs-Szatmár-Bereg,Fehérgyarmat,150 0,863,759,274
Mekényes,30492,község,Baranya,Sásd,025 0,1777,292,142
Mélykút,16018,város,Bács-Kiskun,Jánoshalma,036 0,12347,4907,2780
Mencshely,27137,község,Veszprém,Veszprém,191 0,1261,223,110
Mende,03692,község,Pest,Nagykáta,131 0,2717,4109,1500
Méra,25618,község,Borsod-Abaúj-Zemplén,Encs,056 0,1512,1727,576
Merenye,07737,község,Baranya,Szigetvár,033 0,1447,249,121
Mérges,20385,község,Győr-Moson-Sopron,Tét,092 0,650,85,53
Mérk,07463,nagyközség,Szabolcs-Szatmár-Bereg,Mátészalka,154 0,2504,2153,800
Mernye,23630,község,Somogy,Kaposvár,143 0,2592,1348,548
Mersevát,14809,község,Vas,Celldömölk,176 0,1054,576,234
Mesterháza,31875,község,Vas,Sárvár,179 0,419,149,78
Mesteri,15723,község,Vas,Celldömölk,176 0,1169,270,132
Mesterszállás,30234,község,Jász-Nagykun-Szolnok,Mezőtúr,166 0,4292,702,382
Meszes,11758,község,Borsod-Abaúj-Zemplén,Edelény,055 0,1140,191,117
Meszlen,32832,község,Vas,Szombathely,181 0,1202,211,96
Mesztegnyő,16106,község,Somogy,Marcali,144 0,4469,1391,565
Mezőberény,19628,város,Békés,Békés,045 0,11853,10345,4515
Mezőcsát,13833,város,Borsod-Abaúj-Zemplén,Mezőcsát,059 1,10309,5882,2436
Mezőcsokonya,30854,község,Somogy,Kaposvár,143 0,3077,1183,450
Meződ,03470,község,Baranya,Sásd,025 0,1041,129,69
Mezőfalva,17552,nagyközség,Fejér,Dunaújváros,078 0,8041,4677,1810
Mezőgyán,04206,község,Békés,Sarkad,051 0,5986,1058,501
Mezőhegyes,11873,város,Békés,Mezőkovácsháza,049 0,15544,5339,2874
Mezőhék,26286,község,Jász-Nagykun-Szolnok,Mezőtúr,166 0,8982,355,163
Mezőkeresztes,11323,város,Borsod-Abaúj-Zemplén,Mezőkövesd,060 0,7426,3818,1663
Mezőkomárom,05689,község,Fejér,Enying,079 0,2905,955,410
Mezőkovácsháza,30322,város,Békés,Mezőkovácsháza,049 1,6259,6141,2925
Mezőkövesd,19433,város,Borsod-Abaúj-Zemplén,Mezőkövesd,060 1,10049,16394,7555
Mezőladány,32656,község,Szabolcs-Szatmár-Bereg,Kisvárda,153 0,1405,1138,355
Mezőlak,23560,község,Veszprém,Pápa,187 0,2157,983,393
Mezőnagymihály,18379,község,Borsod-Abaúj-Zemplén,Mezőkövesd,060 0,6186,1040,502
Mezőnyárád,11749,község,Borsod-Abaúj-Zemplén,Mezőkövesd,060 0,1406,1603,686
Mezőörs,12812,község,Győr-Moson-Sopron,Győr,087 0,4847,943,343
Mezőpeterd,31033,község,Hajdú-Bihar,Berettyóújfalu,094 0,1823,599,261
Mezősas,18847,község,Hajdú-Bihar,Berettyóújfalu,094 0,2639,665,304
Mezőszemere,25089,község,Heves,Füzesabony,105 0,2148,1180,605
Mezőszentgyörgy,06576,község,Fejér,Enying,079 0,2712,1305,458
Mezőszilas,29036,község,Fejér,Sárbogárd,084 0,6497,2101,819
Mezőtárkány,31662,község,Heves,Füzesabony,105 0,4060,1612,701
Mezőtúr,04260,város,Jász-Nagykun-Szolnok,Mezőtúr,166 1,28972,16675,7767
Mezőzombor,03443,község,Borsod-Abaúj-Zemplén,Szerencs,066 0,3878,2447,865
Miháld,27526,község,Zala,Nagykanizsa,196 0,2164,770,359
Mihályfa,02130,község,Zala,Zalaszentgrót,198 0,1207,352,174
Mihálygerge,13222,község,Nógrád,Salgótarján,120 0,1106,568,308
Mihályháza,04668,község,Veszprém,Pápa,187 0,2152,763,312
Mihályi,21980,község,Győr-Moson-Sopron,Kapuvár,088 0,1628,1020,461
Mike,20905,község,Somogy,Kaposvár,143 0,3241,614,252
Mikebuda,24466,község,Pest,Cegléd,124 0,4216,667,298
Mikekarácsonyfa,22141,község,Zala,Lenti,194 0,849,262,145
Mikepércs,24217,község,Hajdú-Bihar,Derecske,096 0,3693,4480,1558
Miklósi,33376,község,Somogy,Tab,147 0,1047,207,120
Mikófalva,31282,község,Heves,Bélapátfalva,103 0,1441,698,322
Mikóháza,24253,község,Borsod-Abaúj-Zemplén,Sátoraljaújhely,065 0,1690,512,239
Mikosszéplak,30599,község,Vas,Vasvár,182 0,1865,305,146
Milejszeg,02662,község,Zala,Zalaegerszeg,197 0,907,309,153
Milota,31750,község,Szabolcs-Szatmár-Bereg,Fehérgyarmat,150 0,1540,909,317
Mindszent,21555,város,Csongrád,Hódmezővásárhely,071 0,5932,6777,3169
Mindszentgodisa,16285,község,Baranya,Sásd,025 0,2297,856,359
Mindszentkálla,04534,község,Veszprém,Tapolca,189 0,1084,241,111
Misefa,04756,község,Zala,Zalaegerszeg,197 0,651,270,119
Miske,30632,község,Bács-Kiskun,Kalocsa,037 0,4230,1632,737
Miskolc,30456,megyeszékhely,Borsod-Abaúj-Zemplén,Miskolc,061 1,23667,159554,76817
Miszla,02811,község,Tolna,Tamási,174 0,3471,270,190
Mocsa,26930,község,Komárom-Esztergom,Komárom,112 0,6721,2126,825
Mogyoród,17783,nagyközség,Pest,Gödöllő,128 0,3448,6438,2358
Mogyorósbánya,28255,község,Komárom-Esztergom,Esztergom,110 0,732,832,310
Mogyoróska,10968,község,Borsod-Abaúj-Zemplén,Gönc,057 0,1917,83,107
Moha,25715,község,Fejér,Székesfehérvár,085 0,988,586,230
Mohács,23959,város,Baranya,Mohács,027 1,11223,17433,8421
Mohora,27915,község,Nógrád,Balassagyarmat,116 0,1595,960,382
Molnári,21014,község,Zala,Letenye,195 0,1286,713,269
Molnaszecsőd,03294,község,Vas,Körmend,177 0,1170,418,179
Molvány,29522,község,Baranya,Szigetvár,033 0,1376,191,80
Monaj,09016,község,Borsod-Abaúj-Zemplén,Szikszó,067 0,1153,243,103
Monok,07825,község,Borsod-Abaúj-Zemplén,Szerencs,066 0,4196,1631,799
Monor,10551,város,Pest,Monor,130 1,4678,17853,6803
Monorierdő,34397,község,Pest,Monor,130 0,1505,4081,1583
Mónosbél,31565,község,Heves,Bélapátfalva,103 0,1378,358,145
Monostorapáti,24040,község,Veszprém,Tapolca,189 0,2554,1129,486
Monostorpályi,25894,község,Hajdú-Bihar,Derecske,096 0,4440,2136,956
Monoszló,22512,község,Veszprém,Balatonfüred,185 0,746,107,60
Monyoród,16027,község,Baranya,Bóly,024 0,712,158,92
Mór,18485,város,Fejér,Mór,082 1,10859,14123,5700
Mórágy,20701,község,Tolna,Bonyhád,170 0,1762,736,284
Mórahalom,04349,város,Csongrád,Mórahalom,074 1,8311,5938,2712
Móricgát,34096,község,Bács-Kiskun,Kiskunmajsa,042 0,3290,445,320
Mórichida,02556,község,Győr-Moson-Sopron,Tét,092 0,3230,814,355
Mosdós,31343,község,Somogy,Kaposvár,143 0,1695,931,339
Mosonmagyaróvár,04783,város,Győr-Moson-Sopron,Mosonmagyaróvár,089 1,8378,32752,14281
Mosonszentmiklós,33677,község,Győr-Moson-Sopron,Győr,087 0,3070,2341,952
Mosonszolnok,28149,község,Győr-Moson-Sopron,Mosonmagyaróvár,089 0,4392,1715,584
Mosonudvar,34412,község,Győr-Moson-Sopron,Mosonmagyaróvár,089 0,157,421,151
Mozsgó,29540,község,Baranya,Szigetvár,033 0,2176,1005,338
Mőcsény,33349,község,Tolna,Bonyhád,170 0,1215,381,137
Mucsfa,13620,község,Tolna,Bonyhád,170 0,1275,363,148
Mucsi,07029,község,Tolna,Tamási,174 0,2476,436,211
Múcsony,21546,nagyközség,Borsod-Abaúj-Zemplén,Kazincbarcika,058 0,1755,3081,1208
Muhi,02158,község,Borsod-Abaúj-Zemplén,Tiszaújváros,068 0,962,468,208
Murakeresztúr,25210,község,Zala,Nagykanizsa,196 0,1172,1635,697
Murarátka,07968,község,Zala,Letenye,195 0,1204,223,127
Muraszemenye,33987,község,Zala,Letenye,195 0,1616,597,285
Murga,18917,község,Tolna,Bonyhád,170 0,658,67,49
Murony,11989,község,Békés,Békés,045 0,3568,1200,544
Nábrád,19211,község,Szabolcs-Szatmár-Bereg,Fehérgyarmat,150 0,1767,926,365
Nadap,27599,község,Fejér,Gárdony,080 0,693,541,255
Nádasd,06716,község,Vas,Körmend,177 0,3560,1308,547
Nádasdladány,13903,község,Fejér,Székesfehérvár,085 0,2635,1728,632
Nádudvar,28103,város,Hajdú-Bihar,Hajdúszoboszló,100 0,22577,8636,3743
Nágocs,15909,község,Somogy,Tab,147 0,2225,687,257
Nagyacsád,23551,község,Veszprém,Pápa,187 0,1395,600,255
Nagyalásony,27979,község,Veszprém,Devecser,186 0,1401,456,212
Nagyar,04710,község,Szabolcs-Szatmár-Bereg,Fehérgyarmat,150 0,1599,677,278
Nagyatád,17941,város,Somogy,Nagyatád,145 1,7060,10623,5006
Nagybajcs,02361,község,Győr-Moson-Sopron,Győr,087 0,774,977,375
Nagybajom,21652,város,Somogy,Kaposvár,143 0,10808,3288,1131
Nagybakónak,12760,község,Zala,Nagykanizsa,196 0,1794,392,216
Nagybánhegyes,26028,község,Békés,Mezőkovácsháza,049 0,4225,1224,789
Nagybaracska,25955,község,Bács-Kiskun,Baja,035 0,3795,2289,1017
Nagybarca,29188,község,Borsod-Abaúj-Zemplén,Kazincbarcika,058 0,1439,939,354
Nagybárkány,16391,község,Nógrád,Salgótarján,120 0,884,689,239
Nagyberény,29063,község,Somogy,Siófok,146 0,2314,1305,597
Nagyberki,21449,község,Somogy,Kaposvár,143 0,2174,1457,518
Nagybörzsöny,14775,község,Pest,Szob,137 0,5070,703,353
Nagybudmér,03984,község,Baranya,Bóly,024 0,1022,174,83
Nagycenk,02495,nagyközség,Győr-Moson-Sopron,Sopron,091 0,1946,2003,772
Nagycsány,18111,község,Baranya,Sellye,030 0,565,151,52
Nagycsécs,05582,község,Borsod-Abaúj-Zemplén,Tiszaújváros,068 0,983,799,286
Nagycsepely,20598,község,Somogy,Siófok,146 0,1980,404,183
Nagycserkesz,22743,község,Szabolcs-Szatmár-Bereg,Nyíregyháza,157 0,4150,1778,633
Nagydém,10001,község,Veszprém,Pápa,187 0,1332,355,157
Nagydobos,21485,község,Szabolcs-Szatmár-Bereg,Mátészalka,154 0,2693,2222,745
Nagydobsza,33899,község,Baranya,Szigetvár,033 0,1324,621,227
Nagydorog,18388,nagyközség,Tolna,Paks,172 0,4143,2576,1080
Nagyecsed,06488,város,Szabolcs-Szatmár-Bereg,Mátészalka,154 0,4383,6327,2378
Nagyér,20914,község,Csongrád,Makó,073 0,1227,512,258
Nagyesztergár,23180,község,Veszprém,Zirc,192 0,1828,1156,400
Nagyfüged,26879,község,Heves,Gyöngyös,106 0,2750,1615,712
Nagygeresd,09283,község,Vas,Sárvár,179 0,940,284,142
Nagygörbő,05218,község,Zala,Zalaszentgrót,198 0,745,159,102
Nagygyimót,08262,község,Veszprém,Pápa,187 0,2343,552,247
Nagyhajmás,12858,község,Baranya,Sásd,025 0,1801,314,143
Nagyhalász,27155,város,Szabolcs-Szatmár-Bereg,Ibrány,151 0,4430,5676,1989
Nagyharsány,02653,község,Baranya,Siklós,031 0,2601,1472,516
Nagyhegyes,09478,község,Hajdú-Bihar,Hajdúszoboszló,100 0,13277,2714,1043
Nagyhódos,26976,község,Szabolcs-Szatmár-Bereg,Fehérgyarmat,150 0,765,117,86
Nagyhuta,15468,község,Borsod-Abaúj-Zemplén,Sátoraljaújhely,065 0,3504,67,40
Nagyigmánd,22372,nagyközség,Komárom-Esztergom,Komárom,112 0,5137,2938,1172
Nagyiván,21689,község,Jász-Nagykun-Szolnok,Tiszafüred,168 0,4313,1175,505
Nagykálló,24785,város,Szabolcs-Szatmár-Bereg,Nagykálló,155 1,6856,9329,3638
Nagykamarás,04242,község,Békés,Mezőkovácsháza,049 0,4310,1383,840
Nagykanizsa,30933,megyei jogú város,Zala,Nagykanizsa,196 1,14840,48241,22453
Nagykapornak,20589,község,Zala,Zalaegerszeg,197 0,2441,921,368
Nagykarácsony,07001,község,Fejér,Dunaújváros,078 0,3045,1300,587
Nagykáta,13435,város,Pest,Nagykáta,131 1,8157,12432,5085
Nagykereki,08907,község,Hajdú-Bihar,Berettyóújfalu,094 0,3724,1375,503
Nagykeresztúr,34281,község,Nógrád,Salgótarján,120 0,820,249,101
Nagykinizs,26505,község,Borsod-Abaúj-Zemplén,Szikszó,067 0,657,331,127
Nagykónyi,27182,község,Tolna,Tamási,174 0,4788,1099,519
Nagykorpád,32805,község,Somogy,Nagyatád,145 0,3342,576,218
Nagykovácsi,09991,nagyközség,Pest,Budakeszi,123 0,2767,7255,2627
Nagykozár,10940,község,Baranya,Pécs,028 0,1146,1961,644
Nagykökényes,24943,község,Heves,Hatvan,107 0,1729,589,262
Nagykölked,32920,község,Vas,Körmend,177 0,978,142,69
Nagykőrös,19716,város,Pest,Nagykőrös,132 1,22795,23694,10513
Nagykörű,15574,község,Jász-Nagykun-Szolnok,Szolnok,167 0,4281,1589,906
Nagykutas,22178,község,Zala,Zalaegerszeg,197 0,845,424,187
Nagylak,12779,község,Csongrád,Makó,073 0,469,476,300
Nagylengyel,04455,község,Zala,Zalaegerszeg,197 0,1024,482,205
Nagylóc,21102,község,Nógrád,Szécsény,121 0,3912,1532,697
Nagylók,32364,község,Fejér,Sárbogárd,084 0,3245,1040,461
Nagylózs,32939,község,Győr-Moson-Sopron,Sopron,091 0,1924,1027,290
Nagymágocs,17233,nagyközség,Csongrád,Szentes,076 0,7508,2985,1236
Nagymányok,14030,város,Tolna,Bonyhád,170 0,1067,2275,919
Nagymaros,31732,város,Pest,Szob,137 0,3432,4721,2018
Nagymizdó,15060,község,Vas,Körmend,177 0,676,110,78
Nagynyárád,14650,község,Baranya,Mohács,027 0,2434,724,323
Nagyoroszi,23986,község,Nógrád,Rétság,119 0,4003,2118,838
Nagypáli,28468,község,Zala,Zalaegerszeg,197 0,634,496,186
Nagypall,19877,község,Baranya,Pécsvárad,029 0,713,363,154
Nagypeterd,27164,község,Baranya,Szigetvár,033 0,1163,630,229
Nagypirit,21403,község,Veszprém,Devecser,186 0,1016,250,158
